time,prey,predator,exp,difference
0.0,5.334926579791086,9.942373742798605,1,4.607447163007519
0.01,3.732910216833541,9.678320402570506,1,5.945410185736965
0.01471194522755482,3.16917741155146,9.511358741915108,1,6.3421813303636485
0.02266441410141843,2.4241250857150956,9.189117936764776,1,6.76499285104968
0.029508674703440978,1.942688320106964,8.885037552698737,1,6.9423492325917735
0.03766093931260734,1.5103675700376968,8.505325635585011,1,6.994958065547315
0.0458250956961963,1.1897575267993874,8.117438084367354,1,6.9276805575679665
0.05469111673705798,0.9324327467721708,7.697266674204242,1,6.764833927432071
0.06391211057794581,0.7359449483099227,7.26875873225083,1,6.532813783940907
0.0737048977587458,0.5829639462293363,6.828566126837975,1,6.245602180608639
0.08400842279130045,0.4652132218742976,6.3856328641150295,1,5.920419642240732
0.09492410586959936,0.3740070914041914,5.941193531725012,1,5.56718644032082
0.1064862237233974,0.30342998380514463,5.499195619283136,1,5.195765635477992
0.1187403499064774,0.24879607877978083,5.062863001262571,1,4.81406692248279
0.13176881700565893,0.206393761417228,4.634059492389327,1,4.427665730972099
0.14566224003394956,0.17344317242951918,4.2146127586482205,1,4.041169586218701
0.1605339817944923,0.14783842479036852,3.806021466606407,1,3.658183041816039
0.1765175455405107,0.12800687243941972,3.409752508975574,1,3.281745636536154
0.19377462280466107,0.11278050484141748,3.0272216988473257,1,2.9144411940059083
0.21249927705349647,0.10131112589590743,2.6599090360182394,1,2.558597910122332
0.23292617786075237,0.09300933995386984,2.309395547528988,1,2.216386207575118
0.2553381817475237,0.08751020618224116,1.9774330220916332,1,1.889922815909392
0.2800737889810044,0.08466334936323172,1.6660001131680275,1,1.5813367638047957
0.3075274092087728,0.0845518813691824,1.3773791327384557,1,1.2928272513692733
0.3381271753602566,0.08754569530561201,1.1142498399468022,1,1.0267041446411902
0.3724444748631956,0.09443778335425544,0.8786129797347657,1,0.7841751963805103
0.4101791133423752,0.10634268334032336,0.6768404595643489,1,0.5704977762240255
0.4502553345630684,0.12447304537330188,0.5133282374631666,1,0.3888551920898647
0.4924487558921126,0.15084346328002263,0.38401762030633857,1,0.23317415702631594
0.5362630013411287,0.18814014771426169,0.2844760916441563,1,0.09633594392989464
0.5815003931201281,0.2403724775727738,0.20909789683038535,1,-0.03127458074238845
0.6279115014301461,0.31311374266772646,0.15289353535836048,1,-0.16022020730936598
0.6753635429250495,0.41436329386986226,0.11145317979394952,1,-0.30291011407591273
0.723741158694335,0.5554445105609028,0.08119874837189128,1,-0.47424576218901154
0.7729954543362848,0.7526283842657042,0.05928816381888348,1,-0.6933402204468208
0.8231162051783965,1.0294015991227934,0.043541900224657426,1,-0.985859698898136
0.8741400953665719,1.420071086408428,0.032321160021006726,1,-1.3877499263874213
0.9261206965837184,1.9750229358234388,0.02442422519098112,1,-1.9505987106324576
0.9785974315200524,2.7595899808724007,0.01903523491535792,1,-2.7405547459570427
1.0313566637168137,3.866620082084298,0.0155380773524095,1,-3.8510820047318886
1.0841427032857884,5.42200623866796,0.01356224312162508,1,-5.408443995546334
1.1350373202418604,7.51361675308274,0.013000592976905678,1,-7.500616160105834
1.180856212564006,10.078567169518244,0.013866778962548027,1,-10.064700390555696
1.2171633387283158,12.716631375825209,0.015991340217757284,1,-12.700640035607451
1.247859417555799,15.473238741742572,0.019541719182664136,1,-15.453697022559908
1.2763844526702377,18.55738298682238,0.025511470292716307,1,-18.531871516529662
1.301445220746706,21.75286025999072,0.034788268313633464,1,-21.718071991677085
1.3216728733471352,24.70578851907369,0.04745444875992742,1,-24.65833407031376
1.3411728822648843,27.89364999196717,0.06781574519440568,1,-27.825834246772764
1.3584816429804811,31.008744515595264,0.09813791913035198,1,-30.910606596464913
1.3745367013811016,34.11909342131391,0.14510080741988765,1,-33.973992613894026
1.389204360381991,37.09636068563355,0.21655240447365176,1,-36.879808281159896
1.4027979466355098,39.87962030030916,0.32596459829512103,1,-39.55365570201404
1.4154810045257014,42.349588462166594,0.4930637294527135,1,-41.85652473271388
1.427502464942902,44.352336761314454,0.7492347457291275,1,-43.60310201558533
1.439139078728214,45.643542713658434,1.1446859452308145,1,-44.49885676842762
1.4508656893916596,45.80876552845078,1.7700675478087566,1,-44.03869798064202
1.4642058644699718,43.81463763714816,2.876261897731366,1,-40.93837573941679
1.474490128520819,40.215999611152746,4.064986167676078,1,-36.15101344347667
1.485008741519278,34.68548080895767,5.527554650746367,1,-29.157926158211303
1.4953468680617072,28.05558540989733,7.0317048216284475,1,-21.02388058826888
1.5082512816232805,19.711651602395335,8.638059683787526,1,-11.073591918607809
1.5180833190424632,14.314411741481186,9.464718946904291,1,-4.849692794576894
1.5282701650027544,9.992070069712202,9.918407915225233,1,-0.07366215448696956
1.5382289224903216,6.950187323612577,10.024377920797615,1,3.074190597185038
1.5492834325009386,4.652636631897929,9.859702650427709,1,5.20706601852978
1.5599597603312445,3.195567707865621,9.520572521490749,1,6.325004813625128
1.570204713011004,2.266426653899403,9.100114060208636,1,6.833687406309233
1.5804433102175095,1.6396667460506815,8.632857352670298,1,6.993190606619616
1.5906788211911933,1.2115279290075454,8.147781605643686,1,6.936253676636142
1.601078153122799,0.9105614455120932,7.655153002554858,1,6.744591557042765
1.611703727733242,0.6955843821654274,7.163812415888139,1,6.468228033722712
1.6226609523743478,0.5391904255266458,6.677164891068898,1,6.137974465542253
1.6340300398377947,0.4238611719757496,6.197991869955001,1,5.774130697979252
1.6459058572132323,0.3377291145989926,5.7275909230967645,1,5.389861808497772
1.6583657069924835,0.27282015296973144,5.267645290940436,1,4.994825137970705
